Well,Formation,Depth,Bulk_density_dry,Bulk_density_saturated,Vp_vertical_dry,Vp_vertical_saturated,Vs_vertical_dry,Vs_vertical_saturated,Carbonate_content,Quartz_content,Clay_content,Porosity_calculated,Bulk_modulus_dry_calculated,Shear_modulus_dry_calculated,Bulk_modulus_saturated_calculated,Shear_modulus_saturated_calculated,Poisson_ratio_dry_calculated,Poisson_ratio_saturated_calculated,Biots_coefficient_calculated,Vertical_overburden_stress,Vertical_differential_stress,Vertical_effective_stress,Bulk_modulus_saturated_Gassmanns,Shear_modulus_saturated_Gassmanns,Bulk_modulus_dry_Gassmanns,Shear_modulus_dry_Gassmanns,Vp_vertical_saturated_Gassmanns,Vs_vertical_saturated_Gassmanns,Vp_vertical_dry_Gassmanns,Vs_vertical_dry_Gassmanns
,,ft,g/cc,g/cc,km/s,km/s,km/s,km/s,%,%,%,%,GPa,GPa,GPa,GPa,,,,psi,psi,psi,GPa,GPa,GPa,GPa,km/s,km/s,km/s,km/s
Rigs-1,Ekofisk,9160.55,2.16,2.37,4.3,4.44,2.6,2.49,87.65,7.55,4.8,19.19,20.49,14.61,27.15,14.71,0.21,0.27,0.38,8226.94,4260.42,6704.9,22.97,12.44,17.44,12.44,4.08,2.29,3.97,2.4
Rigs-2,Ekofisk,9163.83,2.15,2.36,4.23,4.29,2.61,2.45,80.89,17.98,1.14,20.05,18.92,14.63,24.51,14.15,0.19,0.26,0.4,8230.31,4262.37,6638.86,21.43,12.37,15.99,12.37,4.01,2.29,3.89,2.4
Rigs-1,Tor,9163.83,1.85,2.17,3.33,3.33,2.07,1.82,93.17,5.45,1.39,31.2,9.92,7.91,14.5,7.2,0.19,0.29,0.62,8230.31,4262.37,5754.09,12.47,6.19,7.77,6.19,3.09,1.69,2.95,1.83
Rigs-2,Tor,9173.68,1.58,2.01,2.09,2.44,1.42,1.25,97.23,1.78,0.99,41.08,2.65,3.18,7.76,3.13,0.07,0.32,0.82,8239.57,4267.36,4976.22,5.16,2.08,1.73,2.08,1.99,1.02,1.69,1.15
Rigs-2,Tor,9180.24,1.56,1.99,2.06,2.37,1.37,1.13,97.01,2.3,0.7,41.77,2.71,2.92,7.81,2.55,0.1,0.35,0.84,8245.27,4270.22,4924.49,5.18,1.69,1.57,1.69,1.93,0.92,1.57,1.04
Rigs-2,Tor,9186.8,1.59,2.02,2.07,2.43,1.39,1.22,97.12,2.09,0.8,40.53,2.72,3.07,7.9,3.0,0.09,0.33,0.81,8250.93,4273.05,5026.7,5.26,2.0,1.77,2.0,1.98,1.0,1.67,1.12
Rigs-1,Tor,9196.64,1.6,2.02,2.45,2.63,1.62,1.37,96.83,2.18,0.99,39.98,4.02,4.21,8.94,3.8,0.11,0.31,0.8,8259.52,4277.38,5075.17,6.49,2.76,2.63,2.76,2.24,1.17,1.98,1.31
Rigs-2,Tor,9199.92,1.54,1.98,2.2,2.48,1.44,1.26,96.46,2.16,1.38,42.29,3.19,3.19,8.01,3.15,0.13,0.33,0.85,8262.4,4278.83,4893.19,5.59,2.2,2.2,2.2,2.07,1.05,1.83,1.2
Rigs-1,Tor,9199.92,1.63,2.04,2.43,2.58,1.58,1.34,98.02,1.19,0.79,39.12,4.19,4.06,8.69,3.66,0.13,0.32,0.78,8262.4,4278.83,5145.46,6.71,2.82,2.92,2.82,2.27,1.18,2.03,1.32
Rigs-2,Tor,9245.86,1.47,1.94,1.98,2.31,1.3,1.12,97.44,1.48,1.08,45.22,2.46,2.49,7.09,2.43,0.12,0.35,0.9,8302.97,4299.51,4682.19,4.76,1.63,1.61,1.63,1.89,0.92,1.6,1.05
